brand,category,condition,original_price,resale_price
Allen Solly,Women's Traditional,New with tags,2600,2340
Hidesign,Women's Tops,Fair,14700,3250
Under Armour,Men's Outerwear,Like New,4600,3200
Shantanu & Nikhil,Women's Traditional,Like New,32500,24000
Tarun Tahiliani,Women's Traditional,Well Loved,102700,17600
Baggit,Men's Tops,Like New,1700,1150
Local Brand,Women's Traditional,New with tags,1150,1000
Max,Women's Tops,Like New,1500,900
Manish Malhotra,Women's Traditional,Like New,145700,96450
Clarks,Men's Tops,Like New,4700,3150
Rangmanch,Men's Outerwear,Like New,1400,1100
Abu Jani Sandeep Khosla,Women's Sets,Good,55700,20050
Reliance Trends,Women's Bottoms,Fair,1000,200
Vans,Women's Bottoms,Fair,6400,1250
Steve Madden,Footwear,Like New,3600,2550
Tribe Amrapali,Women's Sets,Fair,6800,1700
Shantanu & Nikhil,Women's Outerwear,Well Loved,28700,3800
Mango,Women's Tops,Like New,5700,3650
Sangria,Women's Sets,Well Loved,1800,300
Acne Studios,Women's Dresses,Good,44600,18200
Global Desi,Women's Traditional,Good,2000,850
Nine West,Footwear,Good,3000,1150
Arrow,Men's Outerwear,Fair,4200,1150
Biba,Women's Traditional,Like New,5500,4050
W,Women's Traditional,Good,5300,2050
Puma,Women's Outerwear,Well Loved,6100,1200
W,Men's Tops,Good,2000,700
Steve Madden,Women's Tops,Like New,4800,3200
Biba,Women's Outerwear,Fair,4000,1500
AND,Women's Tops,New with tags,5400,4650
No Brand,Women's Outerwear,Fair,600,200
Arrow,Women's Tops,Like New,1300,700
Accessorize,Women's Tops,Good,3500,1500
Thrift,Men's Bottoms,Like New,800,450
Anita Dongre,Women's Dresses,Well Loved,23100,2850
Converse,Men's Tops,Like New,5000,2750
W,Women's Bottoms,Like New,3800,2150
Abu Jani Sandeep Khosla,Men's Bottoms,Good,72600,27650
Louis Philippe,Men's Formal,Fair,1600,450
Local Brand,Women's Bottoms,Fair,1250,300
Allen Solly,Women's Tops,Like New,3800,2250
ASOS,Footwear,Fair,2600,600
Levi's,Women's Sets,Fair,5100,1250
No Brand,Women's Bottoms,Fair,950,250
Shantanu & Nikhil,Women's Tops,Good,14400,5050
Local Brand,Women's Traditional,Like New,1500,1150
Calvin Klein,Women's Outerwear,Like New,5500,4000
Reformation,Women's Bottoms,Good,11900,4050
Rangmanch,Men's Outerwear,Fair,4300,1350
Aldo,Men's Bottoms,Good,2500,1050
Mango,Women's Outerwear,Good,4600,2400
Anju Modi,Women's Tops,Like New,18100,10200
Tribe Amrapali,Men's Formal,Like New,5500,3700
Park Avenue,Women's Traditional,Well Loved,2400,300
Allen Solly,Men's Outerwear,Like New,2900,2450
Louis Philippe,Men's Outerwear,Like New,7800,6100
Toteme,Women's Traditional,Fair,22000,7550
Peter England,Women's Dresses,Well Loved,2500,250
Charles & Keith,Men's Bottoms,Well Loved,3600,350
Accessorize,Women's Tops,Fair,2700,650
Rangmanch,Accessories,Well Loved,4800,650
Arrow,Men's Outerwear,Good,4900,2300
Anatomy,Women's Bottoms,Fair,1100,300
Sangria,Women's Traditional,Like New,2600,1850
Max,Women's Traditional,Like New,1300,900
Arrow,Women's Sets,New with tags,1200,1050
Lacoste,Women's Dresses,Like New,10800,5650
Tommy Hilfiger,Men's Bottoms,Good,3000,1250
Vans,Women's Traditional,Like New,5300,3800
Payal Singhal,Women's Tops,Fair,14900,3100
Tarun Tahiliani,Men's Bottoms,Like New,69500,41150
Nike,Women's Bottoms,New with tags,8900,6950
AND,Women's Outerwear,Good,8500,3300
Amrapali,Women's Dresses,Good,18300,7500
Park Avenue,Men's Bottoms,New with tags,1400,950
Biba,Accessories,Like New,1800,900
Park Avenue,Women's Outerwear,Good,4200,1800
Ritu Kumar,Men's Bottoms,Good,17900,8650
Toteme,Women's Tops,Like New,11800,6050
Monte Carlo,Women's Bottoms,Fair,2300,550
Sangria,Women's Traditional,New with tags,1600,1350
Accessorize,Women's Sets,Good,2600,1000
Amrapali,Footwear,Fair,4300,1350
ASOS,Women's Tops,Good,4900,2150
W,Women's Outerwear,Fair,6000,2200
Vans,Women's Sets,Good,4600,1900
Global Desi,Men's Tops,Good,6100,2250
Max,Bags,Well Loved,2300,350
Forever 21,Men's Bottoms,Good,1200,450
Puma,Women's Bottoms,Fair,6200,1550
Anatomy,Women's Bottoms,Well Loved,2400,300
Rangmanch,Men's Bottoms,Fair,1800,450
Ritu Kumar,Men's Formal,Good,19700,8650
Park Avenue,Men's Tops,Good,1800,750
Anita Dongre,Men's Tops,Fair,26200,4500
FabIndia,Women's Dresses,Good,1600,700
Nanushka,Women's Tops,Like New,12200,6600
Local Brand,Women's Bottoms,Good,450,250
Masaba Gupta,Footwear,Good,8000,3650
ARKET,Men's Bottoms,Like New,7400,3750
Baggit,Accessories,Like New,3900,2400
Payal Singhal,Women's Dresses,Like New,19400,13000
V-Mart,Women's Dresses,Fair,800,150
Park Avenue,Men's Tops,Fair,5800,1350
Only,Men's Tops,Well Loved,2800,400
FabIndia,Women's Bottoms,Good,5700,2250
Tommy Hilfiger,Men's Bottoms,Good,10000,3350
Uniqlo,Women's Tops,Good,4400,1900
Forever 21,Women's Outerwear,Good,800,400
Reformation,Women's Traditional,Good,22300,10300
Anita Dongre,Men's Bottoms,Like New,28500,16000
Local Brand,Women's Tops,Good,400,200
New Balance,Bags,Like New,6800,5250
Rangmanch,Women's Sets,Like New,4400,3100
Zara,Men's Outerwear,Good,2200,1100
Under Armour,Women's Traditional,Like New,6800,5150
Clarks,Women's Tops,Good,5900,2400
Levi's,Women's Tops,Well Loved,5300,500
Converse,Men's Bottoms,Well Loved,3600,450
W,Women's Bottoms,Like New,2600,1400
Anita Dongre,Women's Tops,Fair,18500,4900
Anju Modi,Women's Traditional,Like New,19300,14300
New Balance,Men's Tops,Good,7500,2700
Vans,Bags,Like New,3800,2450
Amrapali,Men's Formal,Like New,7000,4300
Baggit,Men's Bottoms,New with tags,1500,1250
Global Desi,Footwear,Like New,7800,5100
Nine West,Bags,Well Loved,6700,1050
Anatomy,Men's Formal,Like New,2900,2000
Forever 21,Men's Outerwear,Like New,2400,1950
H&M,Women's Bottoms,Fair,2200,550
Anamika Khanna,Men's Tops,Fair,29400,7950
Steve Madden,Women's Outerwear,New with tags,8500,7650
Reebok,Women's Tops,Like New,3200,1900
FabIndia,Men's Tops,Good,3600,1450
Marks & Spencer,Men's Tops,Good,7400,3000
No Brand,Women's Tops,New with tags,1100,850
Acne Studios,Men's Formal,Fair,34800,9150
Chemistry,Women's Sets,Good,1500,700
Aurelia,Men's Tops,Like New,1800,1000
Van Heusen,Women's Traditional,Good,2900,1400
Only,Bags,New with tags,2300,2050
Under Armour,Jewelry,Fair,5200,1250
Louis Philippe,Women's Tops,Good,2500,1050
Peter England,Women's Tops,Good,3600,1450
W,Women's Bottoms,Like New,900,600
Abu Jani Sandeep Khosla,Bags,Like New,83800,65200
Allen Solly,Men's Bottoms,Good,5900,2300
Global Desi,Accessories,Good,3200,1050
Ritu Wear,Women's Dresses,Good,8600,3500
Only,Women's Traditional,New with tags,3200,2880
Shantanu & Nikhil,Women's Traditional,Like New,9200,7000
Rangmanch,Women's Bottoms,Like New,4700,2400
ASOS,Women's Bottoms,Well Loved,800,100
Global Desi,Women's Traditional,Fair,3300,1050
Accessorize,Men's Outerwear,New with tags,1300,1170
Accessorize,Women's Tops,Fair,3500,700
Accessorize,Men's Tops,New with tags,1000,650
Amrapali,Bags,Like New,8500,6750
Converse,Women's Sets,New with tags,8000,7050
No Brand,Footwear,Fair,750,200
Steve Madden,Women's Dresses,Good,5200,1850
Uniqlo,Men's Outerwear,Fair,2300,600
Abu Jani Sandeep Khosla,Women's Tops,New with tags,45600,32950
Hidesign,Jewelry,Good,19600,8150
Sangria,Women's Sets,Good,1700,750
Ralph Lauren,Women's Dresses,Good,7900,3050
Tribe Amrapali,Women's Bottoms,Like New,4900,2850
Sabyasachi,Women's Bottoms,Like New,65100,40300
Amrapali,Women's Traditional,Good,17500,8150
Jaypore,Women's Tops,Like New,5000,2600
Allen Solly,Men's Formal,Like New,5300,3300
Payal Singhal,Women's Traditional,Good,21600,11600
Marks & Spencer,Women's Sets,Good,5100,2350
V-Mart,Women's Tops,Good,1250,450
Westside,Women's Traditional,Like New,2400,1900
Vans,Women's Outerwear,New with tags,4200,3780
Ralph Lauren,Women's Bottoms,Good,10900,4400
Pantaloons,Women's Bottoms,New with tags,1800,1250
ARKET,Footwear,New with tags,7000,6250
& Other Stories,Bags,Fair,9800,2500
Sabyasachi,Women's Traditional,New with tags,115400,94500
Chemistry,Women's Sets,Fair,3900,1200
V-Mart,Women's Tops,Like New,1450,1000
Reformation,Footwear,Fair,15000,4300
Converse,Women's Tops,New with tags,4700,3350
Payal Singhal,Women's Dresses,Like New,24900,17150
Puma,Women's Tops,Well Loved,6500,850
Reebok,Men's Tops,Good,4700,1500
Rohit Bal,Women's Dresses,Like New,56500,30550
Ritu Wear,Women's Traditional,Like New,7600,4850
Tarun Tahiliani,Women's Bottoms,Like New,103600,64450
Reebok,Women's Traditional,Well Loved,2300,350
Local Brand,Women's Bottoms,New with tags,1400,1000
Biba,Women's Bottoms,Good,4500,2050
Sabyasachi,Men's Tops,Like New,139300,80050
V-Mart,Women's Outerwear,Like New,1050,700
Ritu Wear,Women's Tops,Like New,7200,4000
Payal Singhal,Men's Bottoms,Good,13600,5700
Anju Modi,Men's Tops,New with tags,7600,5500
Under Armour,Women's Outerwear,Fair,3000,700
Adidas,Women's Tops,Like New,3900,2350
Vans,Footwear,Like New,6400,4300
New Balance,Women's Dresses,Good,9200,4000
COS,Women's Tops,New with tags,13800,9600
Anamika Khanna,Women's Traditional,Well Loved,32700,4250
Max,Footwear,Good,2100,1100
ASOS,Women's Dresses,Like New,4500,2850
Vero Moda,Men's Formal,Well Loved,2300,300
New Balance,Women's Outerwear,New with tags,13700,12330
Vero Moda,Women's Traditional,Like New,2100,1400
Sangria,Men's Bottoms,Well Loved,3800,400
Sangria,Jewelry,Good,2900,1500
Jaypore,Women's Bottoms,New with tags,7600,6000
Thrift,Women's Sets,Like New,750,500
ARKET,Bags,Good,13400,5500
W,Women's Bottoms,Good,2400,1050
New Balance,Women's Dresses,Good,6400,3200
Monte Carlo,Men's Outerwear,Fair,2400,650
Vintage,Women's Bottoms,Good,0,1800
Aldo,Men's Bottoms,Well Loved,7800,800
& Other Stories,Footwear,Good,9900,3800
Sabyasachi,Women's Traditional,Good,60700,32900
Pantaloons,Men's Tops,Like New,3000,1600
Aurelia,Men's Tops,Good,3400,1400
Aldo,Women's Traditional,Like New,7000,4950
Manish Malhotra,Women's Tops,Like New,147500,87600
Sabyasachi,Men's Formal,Like New,156200,90100
Acne Studios,Men's Bottoms,Well Loved,27100,4250
Jaypore,Women's Outerwear,Good,7000,2650
Lacoste,Women's Traditional,New with tags,4500,4050
ARKET,Men's Tops,Fair,6100,1200
Anamika Khanna,Men's Formal,Good,26400,13850
Vintage,Men's Tops,New with tags,0,3050
Monte Carlo,Women's Dresses,Good,1700,800
Tribe Amrapali,Men's Formal,Good,7200,3650
Monte Carlo,Men's Formal,Good,1700,750
Aldo,Men's Tops,Good,5200,2400
Clarks,Men's Tops,Like New,11200,5950
Only,Women's Tops,Like New,4900,3100
Nanushka,Footwear,New with tags,13500,11800
Aurelia,Men's Outerwear,Like New,2400,1800
Hidesign,Men's Outerwear,Like New,10600,8200
Forever 21,Men's Tops,Good,1200,500
Payal Singhal,Women's Traditional,Good,12000,5500
Max,Men's Tops,Good,1900,850
Nanushka,Men's Outerwear,Good,27600,13150
W,Footwear,Like New,5400,3500
Reliance Trends,Men's Formal,Good,1750,650
Zara,Footwear,Like New,2900,1850
Clarks,Men's Outerwear,Fair,7100,2150
Chemistry,Women's Tops,Well Loved,1100,150
Hidesign,Women's Tops,Like New,13700,7900
Anatomy,Women's Traditional,Fair,2100,550
Masaba Gupta,Men's Bottoms,Well Loved,19000,2000
Accessorize,Bags,New with tags,3700,3330
Tarun Tahiliani,Men's Bottoms,Like New,68200,34900
H&M,Women's Bottoms,Fair,2100,500
Mango,Women's Outerwear,Like New,5900,4000
Global Desi,Men's Tops,Good,9600,3400
W,Accessories,Fair,1800,500
Thrift,Women's Outerwear,Like New,950,650
Biba,Women's Bottoms,New with tags,1400,1250
W,Women's Tops,Good,3000,1300
Pantaloons,Men's Formal,Like New,1100,750
Tommy Hilfiger,Women's Bottoms,New with tags,3100,2300
Clarks,Women's Tops,Well Loved,9400,1150
Nine West,Jewelry,Good,6100,2800
Calvin Klein,Men's Outerwear,New with tags,8500,7650
Shantanu & Nikhil,Women's Bottoms,Good,27300,13250
Converse,Women's Dresses,Like New,3500,1850
Biba,Men's Formal,Good,1800,850
Payal Singhal,Women's Traditional,Good,16800,8600
Levi's,Men's Tops,Like New,3500,2000
Under Armour,Women's Tops,Good,2100,750
Van Heusen,Women's Tops,Like New,3800,2000
Vero Moda,Footwear,Like New,1100,600
Biba,Women's Tops,Like New,1200,750
Sabyasachi,Men's Bottoms,Like New,87100,51300
Nike,Women's Bottoms,Good,8500,3950
Max,Women's Tops,Well Loved,500,100
Aurelia,Women's Bottoms,Good,4600,1800
Monte Carlo,Women's Traditional,Good,900,350
Amrapali,Women's Bottoms,Like New,19000,11250
Aldo,Women's Sets,New with tags,6300,5550
Under Armour,Women's Sets,New with tags,6400,5100
Reformation,Women's Sets,Like New,19800,13150
Converse,Women's Tops,Like New,4900,2800
H&M,Men's Tops,Well Loved,2200,300
& Other Stories,Women's Outerwear,Like New,7000,4450
Tommy Hilfiger,Women's Tops,Fair,8000,1650
Peter England,Women's Bottoms,Good,2200,800
New Balance,Men's Bottoms,Well Loved,12700,1650
Lacoste,Bags,Fair,10800,2750
COS,Women's Tops,Well Loved,12500,1800
Forever 21,Men's Formal,Good,3000,1250
Ritu Kumar,Women's Bottoms,Well Loved,12600,1950
Tarun Tahiliani,Women's Bottoms,Well Loved,103200,14900
Sabyasachi,Men's Bottoms,Good,63200,22200
Puma,Men's Outerwear,Like New,4700,3450
Under Armour,Bags,Fair,6000,1750
Ritu Kumar,Women's Outerwear,Fair,19500,5450
Local Brand,Men's Tops,Fair,450,100
No Brand,Men's Outerwear,Like New,900,650
Reformation,Women's Traditional,Like New,21000,13450
Ritu Wear,Women's Tops,Good,8200,3200
Pantaloons,Footwear,New with tags,3100,2790
Calvin Klein,Women's Bottoms,Fair,5600,1500
Tribe Amrapali,Women's Tops,Well Loved,3000,400
Anamika Khanna,Women's Tops,Good,26900,11100
Charles & Keith,Women's Tops,Well Loved,5700,650
ARKET,Men's Bottoms,Fair,12400,3100
Local Brand,Women's Tops,Like New,1650,950
Anita Dongre,Footwear,Fair,15100,4000
Arrow,Footwear,Good,5400,2100
Monte Carlo,Men's Formal,Good,3000,1250
Aldo,Men's Bottoms,Well Loved,5100,650
Sangria,Women's Tops,New with tags,1500,1200
V-Mart,Men's Formal,Well Loved,1050,150
Pantaloons,Men's Tops,Good,1400,550
Ritu Kumar,Women's Traditional,Good,25900,11550
AND,Women's Outerwear,Like New,7200,6100
COS,Men's Tops,New with tags,12800,8900
Van Heusen,Women's Bottoms,Good,2800,1250
Sangria,Men's Bottoms,Good,2700,1250
Jaypore,Women's Dresses,Like New,4700,2950
Under Armour,Women's Traditional,Well Loved,5300,750
Marks & Spencer,Jewelry,Good,4700,2200
ASOS,Men's Tops,New with tags,3700,3000
Acne Studios,Footwear,Good,44700,16650
Sabyasachi,Women's Dresses,Good,105100,37350
Chemistry,Women's Outerwear,New with tags,4100,3690
AND,Women's Tops,Good,6500,2150
Anju Modi,Men's Bottoms,Well Loved,28400,3800
Uniqlo,Women's Bottoms,Like New,5100,3450
Adidas,Men's Tops,Like New,6100,2950
Toteme,Women's Bottoms,Good,11900,4900
Rohit Bal,Women's Sets,Good,42300,17350
Ritu Kumar,Footwear,Like New,7000,4050
Mango,Women's Traditional,Like New,9400,6900
Westside,Men's Outerwear,Like New,1100,750
Local Brand,Women's Tops,Good,1000,450
Only,Women's Outerwear,Good,2500,1200
Ralph Lauren,Footwear,Good,8600,3550
Ritu Wear,Women's Outerwear,Like New,6700,4050
Nine West,Women's Traditional,Like New,8600,5350
H&M,Women's Bottoms,Like New,500,350
Reliance Trends,Men's Outerwear,Like New,1650,1000
H&M,Men's Formal,Like New,3400,2150
H&M,Women's Tops,Good,3300,1400
Tribe Amrapali,Men's Bottoms,Well Loved,7800,1150
Sangria,Women's Tops,Well Loved,1300,150
AND,Men's Tops,Like New,4800,2750
Pantaloons,Women's Tops,Fair,3800,900
Masaba Gupta,Women's Bottoms,Fair,10100,2550
Local Brand,Women's Traditional,Like New,450,250
Mango,Men's Tops,Fair,8400,2050
Anamika Khanna,Men's Bottoms,Like New,37500,23450
ARKET,Women's Tops,Like New,5300,2750
Only,Women's Tops,New with tags,3100,2450
Pantaloons,Women's Traditional,Like New,2100,1250
Monte Carlo,Women's Outerwear,Fair,3100,800
Peter England,Bags,New with tags,1400,1250
Abu Jani Sandeep Khosla,Bags,Well Loved,41700,7700
Converse,Women's Bottoms,Good,5100,1950
New Balance,Women's Dresses,New with tags,10100,9050
Vero Moda,Footwear,Well Loved,3100,450
AND,Women's Bottoms,Good,4700,1800
Anatomy,Women's Dresses,Good,900,350
Reliance Trends,Women's Bottoms,Like New,1150,650
Forever 21,Women's Tops,Well Loved,2300,350
Ralph Lauren,Women's Dresses,Like New,12800,7700
Reformation,Footwear,Good,9200,4050
& Other Stories,Women's Traditional,New with tags,5600,5040
Vero Moda,Women's Tops,Like New,4600,2450
Uniqlo,Women's Tops,Fair,4800,1250
Max,Men's Formal,Good,700,300
& Other Stories,Footwear,Fair,14000,3400
Steve Madden,Jewelry,Good,4900,2550
Shantanu & Nikhil,Women's Sets,New with tags,24700,21200
Allen Solly,Women's Traditional,Well Loved,1800,200
Rangmanch,Women's Dresses,Fair,2400,500
COS,Men's Bottoms,New with tags,13100,8950
Vero Moda,Accessories,Good,4600,1700
Ralph Lauren,Men's Tops,Like New,6200,3650
Anju Modi,Women's Tops,Fair,28300,5750
COS,Women's Dresses,Fair,4300,950
Ralph Lauren,Women's Outerwear,Like New,12100,9900
Charles & Keith,Men's Bottoms,Good,2700,950
Vintage,Footwear,Good,0,2150
W,Men's Tops,Good,5300,1800
Local Brand,Women's Traditional,Good,1400,600
Calvin Klein,Women's Outerwear,Like New,10600,8250
Calvin Klein,Women's Tops,New with tags,6500,5250
ASOS,Women's Outerwear,Well Loved,4100,650
Mango,Women's Bottoms,Well Loved,9900,1600
Vero Moda,Men's Outerwear,Like New,3800,2900
Tribe Amrapali,Women's Dresses,Fair,8300,2000
Louis Philippe,Women's Outerwear,Good,2100,1050
Ritu Kumar,Men's Outerwear,Good,20800,9550
Nike,Women's Bottoms,Good,6100,2500
AND,Women's Dresses,Like New,6900,4400
Aldo,Women's Outerwear,Good,5700,2500
Amrapali,Men's Bottoms,Like New,19600,10750
ARKET,Women's Tops,Well Loved,16800,2350
Anamika Khanna,Accessories,Like New,30000,17750
Skechers,Women's Sets,Fair,2900,750
& Other Stories,Women's Dresses,Like New,12100,7900
Nike,Men's Tops,Fair,2100,550
Reformation,Men's Tops,Like New,10600,6800
Nanushka,Women's Tops,Fair,15200,4350
Allen Solly,Men's Formal,Well Loved,5600,750
V-Mart,Women's Tops,New with tags,1200,1050
Nine West,Men's Tops,Good,5700,2000
Thrift,Women's Bottoms,Good,350,150
Westside,Jewelry,Fair,800,200
Anatomy,Women's Outerwear,New with tags,1900,1710
Zara,Women's Traditional,Fair,7700,2200
Vintage,Women's Traditional,Well Loved,0,450
Nike,Women's Outerwear,Like New,5600,3500
Nike,Women's Tops,Well Loved,9400,1100
Marks & Spencer,Women's Traditional,Fair,1500,400
Zara,Men's Tops,Like New,8900,5600
Nine West,Women's Traditional,Like New,6600,4600
Louis Philippe,Women's Outerwear,Like New,5400,4100
Global Desi,Women's Traditional,Well Loved,2100,300
Rangmanch,Women's Tops,Like New,4700,2700
Pantaloons,Women's Tops,Like New,2600,1700
Charles & Keith,Women's Tops,New with tags,7100,6050
Steve Madden,Women's Bottoms,Like New,6100,4150
Baggit,Women's Tops,Like New,4200,2400
FabIndia,Women's Traditional,Fair,5800,1450
Levi's,Women's Dresses,New with tags,6000,5250
Arrow,Men's Bottoms,New with tags,3100,2350
Vans,Women's Outerwear,Fair,5000,1300
Forever 21,Women's Outerwear,Fair,900,250
Peter England,Men's Tops,Like New,1200,800
Allen Solly,Men's Bottoms,Like New,4000,2400
V-Mart,Women's Bottoms,Good,1150,450
Park Avenue,Women's Dresses,Like New,4500,2700
Rohit Bal,Women's Outerwear,New with tags,29400,26460
V-Mart,Women's Dresses,Fair,850,250
Calvin Klein,Women's Bottoms,Like New,3700,2650
Allen Solly,Women's Traditional,Like New,5000,3900
Arrow,Women's Traditional,Good,3800,1750
Westside,Women's Tops,Good,1800,600
Sabyasachi,Women's Dresses,Well Loved,114600,12900
Shantanu & Nikhil,Bags,New with tags,12900,11610
New Balance,Men's Tops,Like New,12800,8450
Amrapali,Women's Dresses,Like New,10200,6300
Biba,Women's Dresses,Good,1200,450
Louis Philippe,Women's Outerwear,Good,2900,1650
Hidesign,Men's Bottoms,Good,6000,2550
Biba,Bags,New with tags,5300,4300
Ralph Lauren,Women's Outerwear,Like New,18600,14150
Hidesign,Jewelry,Fair,18300,5900
Converse,Women's Tops,Like New,7900,5300
Jaypore,Men's Outerwear,Good,6500,3150
W,Women's Bottoms,Like New,4900,3100
Manish Malhotra,Women's Outerwear,Well Loved,96600,17000
Forever 21,Women's Dresses,Like New,1200,800
Tommy Hilfiger,Women's Outerwear,Good,6200,3100
Abu Jani Sandeep Khosla,Women's Tops,Fair,92400,20800
Reebok,Women's Sets,Good,6100,2900
Rohit Bal,Women's Dresses,New with tags,55500,39900
Toteme,Bags,New with tags,31500,27700
& Other Stories,Women's Bottoms,Well Loved,8700,1300
Arrow,Women's Bottoms,Like New,3800,2350
Peter England,Men's Bottoms,New with tags,2500,1650
Marks & Spencer,Women's Bottoms,Like New,6800,4000
Toteme,Men's Tops,Good,14100,5150
Reebok,Bags,Like New,3900,2700
Thrift,Men's Tops,Like New,1450,750
Sangria,Women's Traditional,Like New,3600,2500
Ritu Wear,Women's Tops,Good,2100,750
Adidas,Footwear,Good,6300,3200
Toteme,Men's Bottoms,Good,19200,7200
W,Footwear,Fair,4200,1200
Anamika Khanna,Women's Traditional,Like New,36100,26650
Anju Modi,Women's Outerwear,Well Loved,18300,3000
Masaba Gupta,Men's Outerwear,New with tags,21100,18990
Vintage,Footwear,Good,0,200
Vans,Bags,Like New,6800,4550
Anju Modi,Men's Outerwear,Fair,13500,3950
Lacoste,Women's Sets,Well Loved,8400,1150
Tarun Tahiliani,Women's Sets,New with tags,102800,84800
Rohit Bal,Women's Traditional,Fair,34100,8950
Sangria,Women's Tops,New with tags,3800,3250
Anju Modi,Women's Tops,Well Loved,12400,1300
Manish Malhotra,Women's Tops,Well Loved,49600,7100
Vans,Men's Bottoms,Fair,4500,1200
Westside,Women's Tops,Like New,3200,2050
Pantaloons,Women's Traditional,Like New,1100,800
ARKET,Men's Bottoms,Like New,15100,9800
Levi's,Women's Dresses,Well Loved,2800,350
Monte Carlo,Women's Tops,Good,4800,1700
Louis Philippe,Men's Bottoms,Good,5900,2100
Mango,Women's Tops,Good,7100,2750
Ralph Lauren,Women's Tops,Like New,9800,6700
Levi's,Women's Tops,Well Loved,4000,550
Rangmanch,Women's Dresses,Well Loved,4900,750
Payal Singhal,Footwear,New with tags,24900,21100
Sangria,Women's Tops,Like New,2400,1450
Skechers,Men's Outerwear,New with tags,3800,3150
Clarks,Women's Bottoms,Fair,8500,2250
Anamika Khanna,Women's Bottoms,Good,32900,13900
Anatomy,Women's Traditional,Fair,1400,450
Ralph Lauren,Women's Bottoms,Fair,16300,3500
Uniqlo,Men's Tops,Well Loved,3900,400
Masaba Gupta,Women's Outerwear,Fair,20100,7450
Mango,Men's Bottoms,Good,4500,1650
Rangmanch,Men's Formal,New with tags,2300,1950
Local Brand,Men's Formal,Well Loved,900,150
Nanushka,Jewelry,Like New,23500,14600
Reebok,Women's Dresses,New with tags,1600,1440
Nike,Men's Tops,Good,3600,1200
Abu Jani Sandeep Khosla,Men's Outerwear,Like New,92300,65000
Arrow,Men's Tops,Good,4200,1550
Under Armour,Women's Sets,New with tags,5500,4550
Skechers,Footwear,Fair,3300,900
Nike,Women's Outerwear,Well Loved,2900,450
Max,Bags,Fair,2400,750
Calvin Klein,Men's Bottoms,Like New,8700,4750
Baggit,Women's Bottoms,Fair,5200,1250
Park Avenue,Women's Tops,Like New,2300,1300
Puma,Women's Traditional,Fair,2800,750
New Balance,Women's Tops,Like New,11900,6550
COS,Women's Traditional,Like New,5900,3950
& Other Stories,Women's Bottoms,Good,3600,1400
New Balance,Women's Bottoms,New with tags,9000,7500
Marks & Spencer,Men's Bottoms,Fair,2000,450
Puma,Women's Traditional,New with tags,2300,1850
Reliance Trends,Women's Bottoms,Fair,450,100
New Balance,Women's Traditional,Like New,7300,5250
Clarks,Women's Traditional,Fair,11400,4000
Charles & Keith,Women's Dresses,New with tags,4200,3150
New Balance,Men's Tops,Like New,13900,8100
H&M,Men's Outerwear,New with tags,1400,1100
Local Brand,Bags,Good,500,200
Hidesign,Accessories,Like New,13400,8050
Acne Studios,Men's Tops,Fair,41100,10850
Ritu Wear,Men's Outerwear,Like New,4300,2850
Thrift,Women's Outerwear,Good,800,450
Aldo,Women's Tops,Good,5700,2450
Jaypore,Women's Tops,Like New,2500,1700
Tarun Tahiliani,Women's Bottoms,Fair,88400,20450
Westside,Men's Outerwear,New with tags,2900,2600
Max,Women's Outerwear,Good,1100,550
Zara,Women's Sets,Like New,3100,2050
Under Armour,Women's Outerwear,Fair,7900,2450
FabIndia,Men's Formal,Like New,2900,2150
ARKET,Women's Traditional,Well Loved,16600,3100
Payal Singhal,Men's Tops,Good,12000,4700
Adidas,Men's Tops,Like New,3100,1550
H&M,Men's Bottoms,Good,3800,1600
Van Heusen,Men's Tops,Good,4500,1600
Anju Modi,Women's Traditional,Good,29200,12650
Vintage,Women's Outerwear,Good,0,1400
Steve Madden,Women's Tops,Like New,10000,6550
Monte Carlo,Women's Outerwear,Good,4400,2050
Clarks,Women's Outerwear,Like New,4800,4000
Arrow,Women's Bottoms,Like New,2000,1200
FabIndia,Men's Formal,Good,4400,2050
Anita Dongre,Footwear,Like New,18400,11550
Westside,Women's Tops,New with tags,2300,1850
Payal Singhal,Men's Formal,Fair,27100,8600
Allen Solly,Men's Outerwear,Like New,5700,4300
Max,Women's Tops,Well Loved,700,100
Nine West,Women's Traditional,Good,8800,4950
Steve Madden,Women's Tops,Good,5500,2200
Vans,Footwear,Good,7800,3850
Arrow,Men's Formal,Fair,5900,1400
Accessorize,Accessories,Good,3500,1300
Masaba Gupta,Women's Traditional,Good,7400,2900
Under Armour,Bags,Like New,6500,4700
Abu Jani Sandeep Khosla,Women's Sets,Like New,41600,29900
Masaba Gupta,Men's Tops,Good,13200,4450
Jaypore,Footwear,Fair,4900,1200
Jaypore,Women's Traditional,Like New,3900,2850
COS,Men's Bottoms,New with tags,4200,3400
Manish Malhotra,Men's Formal,Fair,132700,26250
Clarks,Women's Dresses,Fair,8000,2150
Forever 21,Men's Bottoms,Well Loved,1400,150
Rohit Bal,Women's Sets,Fair,53300,12050
Ralph Lauren,Men's Tops,Good,12400,4400
H&M,Bags,Like New,2100,1350
Adidas,Men's Tops,Like New,4300,2150
Westside,Women's Traditional,Good,800,350
COS,Women's Traditional,Good,9500,3900
Ritu Kumar,Women's Bottoms,Like New,9200,4900
Lacoste,Women's Traditional,Well Loved,6300,900
Ritu Wear,Men's Tops,Well Loved,4100,600
